Station_Name,Longitude,Latitude,Street_Address
Holiday Inn Express & Suites Nashville SE Antioch - Tesla Destination,-86.648101,36.04401,201 Crossings Pl
Hampton Inn Nashville-I-24 Hickory Hollow - Tesla Destination,-86.64822,36.044601,210 Crossings Pl
DelMonaco Winery & Vineyards - Tesla Destination,-85.615436,36.162557,600 Lance Dr
Hampton Inn & Suites Chattanooga/ Downtown - Tesla Destination,-85.311467,35.051991,400 Chestnut St
DoubleTree by Hilton Chattanooga Downtown - Tesla Destination,-85.312336,35.051246,407 Chestnut St
Holiday Inn & Suites Chattanooga Downtown - Tesla Destination,-85.311242,35.051148,434 Chestnut St
Home2 Suites by Hilton Clarksville/Ft. Campbell - Tesla Destination,-87.286429,36.593118,"3020 Mr. ""C"" Dr"
Old Glory Distilling Co. - Tesla Destination,-87.277416,36.596927,451 Alfred Thun Rd
Stonehaus Winery - Tesla Destination,-85.010675,35.985163,2444 Genesis Rd
Comfort Inn Dickson - Tesla Destination,-87.334704,36.022181,1085 E Christi Dr
Home2 Suites by Hilton Nashville Franklin - Tesla Destination,-86.805357,35.955847,107 International Dr
Hampton Inn & Suites Nashville/Franklin/Cool Springs - Tesla Destination,-86.814842,35.952903,7141 South Springs Dr
Hilton Garden Inn Nashville Franklin/ Cool Springs - Tesla Destination,-86.801646,35.959701,9150 Carothers Pkwy
Wildwood Resort & Marina - Tesla Destination,-85.800753,36.256157,7316 Granville Hwy
General Morgan Inn - Tesla Destination,-82.830688,36.163879,111 N Main St
Holiday Inn Express & Suites Chattanooga-Hixson - Tesla Destination,-85.246052,35.127167,4820 Hixson Pike
Hilton Garden Inn Jackson - Tesla Destination,-88.861564,35.662092,1324 Vann Dr
Rush Street Neighborhood Grill - Tesla Destination,-82.526201,36.549877,1229 E Stone Dr
MeadowView Conference Resort & Convention Center - Tesla Destination,-82.567177,36.506611,1901 Meadowview Pkwy
The Tennessean Hotel - Tesla Destination,-83.923088,35.962418,531 Henley St
Embassy Suites Knoxville West - Tesla Destination,-84.106506,35.913349,9621 Parkside Dr
Mountain Motorsports - Tesla Destination,-83.613263,35.981874,3422 Adventure Ln
The Peabody Hotel - Tesla Destination,-90.052383,35.142695,149 Union Ave
La Quinta Inn & Suites Memphis Wolfchase - Tesla Destination,-89.778292,35.203252,2839 New Brunswick Rd
Hyatt Place Memphis Wolfchase Galleria - Tesla Destination,-89.796324,35.196561,7905 Giacosa Pl
Best Western Galleria Inn & Suites - Tesla Destination,-89.774594,35.204068,8635 US-64
Hilton Garden Inn Murfreesboro - Tesla Destination,-86.451521,35.864983,1335 Conference Center Boulevard
Hilton Nashville Downtown - Tesla Destination,-86.776722,36.159962,121 4th Ave S
Urban Cookhouse Nashville - Tesla Destination,-86.796647,36.150317,1907 Broadway
The Hermitage Hotel - Tesla Destination,-86.782516,36.163737,231 6th Ave N
Gaylord Opryland Resort & Convention Center - Tesla Destination,-86.695925,36.211385,2800 Opryland Dr
Thompson Nashville - Tesla Destination,-86.78409,36.152342,401 11th Ave S
Hotel Preston - Tesla Destination,-86.70126,36.141968,733 Briley Pkwy
Fairfield Inn & Suites Nashville Downtown/The Gulch - Tesla Destination,-86.781738,36.149966,901 Division St
Christopher Place Resort - Tesla Destination,-83.252262,35.920468,1500 Pinnacles Way
The Inn at Christmas Place - Tesla Destination,-83.577039,35.810027,119 Christmas Tree Ln
Margaritaville - Tesla Destination,-83.57458,35.803491,130 The Island Dr
Titanic Pigeon Forge - Tesla Destination,-83.5785,35.820582,2134 Parkway
"Berry Springs Lodge, a Select Registry Property - Tesla Destination",-83.501494,35.817985,2149 Seaton Springs Rd
TownePlace Suites by Marriott Nashville Smyrna - Tesla Destination,-86.57699646,35.97525194,990 Colonnade Dr
Dancing Bear Lodge & Appalachian Bistro - Tesla Destination,-83.781359,35.679028,7140  E Lamar Alexander Pkwy
Hampton Inn Tullahoma - Tesla Destination,-86.232452,35.385352,1922  N Jackson St
Blackberry Farm - Tesla Destination,-83.865346,35.687301,1471 W Millers Cove Rd
Westmoreland Family Clinic - Tesla Destination,-86.238086,36.553862,100-B Mallard Sunrise Dr
Best Western Winchester - Tesla Destination,-86.094222,35.20023,1602 Dinah Shore Blvd
Hilton Garden Inn - Tesla Destination,-99.764881,32.396197,4449 Ridgemont Dr
Million Air Dallas - Tesla Destination,-96.836121,32.9756,4300 Westgrove Dr
La Quinta Inn and Suites Allen at The Village - Tesla Destination,-96.667268,33.116801,1220 N Central Expy
Hyatt Place Dallas/Allen - Tesla Destination,-96.677024,33.107552,333 Central Expressway N
Hampton Inn & Suites Amarillo East - Tesla Destination,-101.752247,35.193701,7777 I - 40 E
Home2 Suites by Hilton Amarillo - Tesla Destination,-101.931076,35.190837,8251  W Amarillo Blvd
Holiday Inn Express and Suites Amarillo West - Tesla Destination,-101.933418,35.192758,8330 W Amarillo Blvd
Microtel Inn and Suites Aransas Pass - Tesla Destination,-97.143113,27.900515,355 E Goodnight Ave
Lone Star Court - Tesla Destination,-97.7263,30.395214,10901  Domain Dr
Kimber Modern - Tesla Destination,-97.74838,30.250097,110 The Circle
Austin Motel - Tesla Destination,-97.749385,30.251397,1220 S Congress Ave
Homewood Suites Austin/ Tech Ridge - Tesla Destination,-97.667455,30.408124,13001 Center Lake Dr
Fairfield Inn & Suites by Marriott Austin - Tesla Destination,-97.778969,30.440399,13087 N Research Blvd
Hotel San Jose - Tesla Destination,-97.749667,30.250662,1316 S Congress Ave
Travaasa Austin Resort & Spa - Tesla Destination,-97.864996,30.443214,13500 Farm to Market Rd 2769
Lake Austin Spa Resort - Tesla Destination,-97.926845,30.327349,1705 S Quinlan Park Rd
Hotel Ella - Tesla Destination,-97.745432,30.283067,1900 Rio Grande St
W Austin Hotel & Residences - Tesla Destination,-97.74689,30.265815,200 Lavaca St
W Austin Residences - Tesla Destination,-97.74689,30.265815,200 Lavaca St
Hyatt Regency Austin - Tesla Destination,-97.747298,30.259159,208 Barton Springs Rd
Home2 Suites by Hilton Austin North - Tesla Destination,-97.718582,30.398529,2800 Esperanza Crossing
Austin Terrier - Tesla Destination,-97.74838,30.357443,3435 Greystone Dr
827 Rays - Tesla Destination,-97.931339,30.396393,3519 Ranch Rd 620 N
Atlantic Aviation - Austin - Tesla Destination,-97.663268,30.186677,4309 Emma Browning Ave
TownePlace Suites Austin Round Rock - Tesla Destination,-97.681083,30.478115,541  Parker Dr
Kimpton Hotel Van Zandt - Tesla Destination,-97.73921,30.260104,605 Davis St
InterContinental Stephen F Austin Hotel - Tesla Destination,-97.741973,30.269047,701 Congress Ave
Rudy's Country Store and BBQ Austin - Tesla Destination,-97.849318,30.410666,7709 Ranch Rd 620
Omni Barton Creek Resort - Tesla Destination,-97.854022,30.289977,8212 Barton Club Dr
Renaissance Austin Hotel - Tesla Destination,-97.749937,30.392054,9721 Arboretum Blvd
Four Seasons Hotel Austin - Tesla Destination,-97.742735,30.262303,98 San Jacinto Blvd
Westin Austin Downtown - Tesla Destination,-97.740385,30.266525,310 E 5th St
"Best Western - Bay City, TX - Tesla Destination",-95.985881,28.984985,515 W 7th St
La Quinta Inn & Suites Bay City - Tesla Destination,-95.928483,28.989056,5300 7th St
Baymont Inn & Suites Baytown - Tesla Destination,-94.984893,29.80628,7212 E Point Blvd
"Homewood Suites by Hilton Beaumont, TX - Tesla Destination",-94.150126,30.043103,3745 IH-10 S
Sonesta Bee Cave/Austin - Tesla Destination,-97.934398,30.309534,12525 Bee Cave Pkwy
Kenjo's Barbeque - Tesla Destination,-95.567041,29.048864,200 E Sanbernard St
Kenjos Barbeque - Tesla Destination,-95.567041,29.048864,200 E Sanbernard St
Coach Light Inn Brenham - Tesla Destination,-96.385924,30.149036,2242 S Market St
Holiday Inn Express & Suites Brenham South - Tesla Destination,-96.400869,30.140331,2685 Schutle Blvd
La Quinta Inn & Suites Brookshire - Tesla Destination,-95.966863,29.777455,721 FM 1489 Rd
Hilton Garden Inn Bryan/College Station - Tesla Destination,-96.301949,30.646777,3081 University Dr E
"Kent Moore Cabinets, Ltd. - Tesla Destination",-96.40448109,30.65366495,445 Stone City Dr
Best Western Red River Inn - Tesla Destination,-98.555624,34.077126,1008 Sheppard Rd
Baja BBQ Shack - Tesla Destination,-98.233878,29.900649,280 Marina
Wonderland Montessori Academy of Carrollton - Tesla Destination,-96.930871,33.020285,1507 W Hebron Pkwy
La Quinta Inn & Suites Austin - Cedar Park - Tesla Destination,-97.817384,30.52409,1010 E Whitestone Blvd
Holiday Inn Express Hotel & Suites Clute Southwest - Tesla Destination,-95.411271,29.010416,1117 Hwy 332
Hampton Inn & Suites Lake Jackson-Clute - Tesla Destination,-95.411332,29.010415,1121 Hwy 332
Embassy Suites by Hilton College Station - Tesla Destination,-96.333984,30.629414,201 University Dr E
Best Western Plus College Station Inn & Suites - Tesla Destination,-96.266574,30.564171,950 Arrington Rd
Homewood Suites by Hilton College Station - Tesla Destination,-96.323218,30.633489,950 University Dr E
Hotel Faust - Tesla Destination,-98.907382,29.966317,717 High St
Best Western On The Island - Tesla Destination,-97.22332,27.62841,14050 South Padre Island Dr
Hawthorn Suites by Wyndham Corpus Christi - Tesla Destination,-97.442713,27.744236,1442 S Padre Island Dr
SpringHill Suites Corpus Christi - Tesla Destination,-97.393011,27.71787,4331 South Padre Island Dr
La Palmera Mall - Tesla Destination,-97.372922,27.71127,5488 S Padre Island Dr
Hyatt Place Corpus Christi - Tesla Destination,-97.349626,27.69695,6773 S Padre Island Dr
Hampton Inn & Suites - I37 & Navigation Blvd - Tesla Destination,-97.453381,27.802695,917 N Navigation Blvd
Holiday Inn Express & Suites Corpus Christi - Tesla Destination,-97.453463,27.803045,929 N Navigation Blvd
Candlewood Suites Corpus Christi - Tesla Destination,-97.304886,27.675846,9225 S Padre Island Dr
Hampton Inn & Suites Dallas - North Park Area - Tesla Destination,-96.769384,32.887235,10370 N Central Expy
Consolidated Restaurant Operations - Tesla Destination,-96.897054,32.918521,12200 Stemmons Fwy
NYLO Dallas South Side - Tesla Destination,-96.796303,32.767566,1325 S Lamar St
Fairmont Dallas - Tesla Destination,-96.801995,32.786084,1717 N Akard St
The Ritz-Carlton Dallas - Tesla Destination,-96.803742,32.792433,2121 McKinney Ave
Aloft Dallas/Lovefield - Tesla Destination,-96.847188,32.826209,2333  W Mockingbird Ln
Hyatt Regency Dallas - Tesla Destination,-96.80927954,32.77577271,300 Reunion Blvd
Residence Inn Dallas at The Canyon - Tesla Destination,-96.876091,32.765875,3425 Canyon Bluff Blvd
Sheraton Dallas Galleria - Tesla Destination,-96.824415,32.926698,4801 Lyndon B  Johnson Fwy
Omni Dallas Hotel - Tesla Destination,-96.803898,32.775161,555 S Lamar St
Holiday Inn Express & Suites North Dallas At Preston - Tesla Destination,-96.801658,32.926755,6055 LBJ Freeway
Dallas Marriott City Center - Tesla Destination,-96.795531,32.786678,650 N Pearl St
The LOT Dallas - Tesla Destination,-96.729128,32.810253,7530 E. Grand Ave
Preston Hollow Emergency Room - Tesla Destination,-96.769066,32.880479,8007 Walnut Hill Ln
Highland Park Village - Tesla Destination,-96.806812,32.836217,58 Highland Park Village
Holiday Inn Express & Suites Deer Park - Tesla Destination,-95.125166,29.694888,201 W X St
Best Western Premier  Crown Chase Inn & Suites - Tesla Destination,-97.1003,33.18238,2450 Brinker Rd
Wildwood Inn - Tesla Destination,-97.111382,33.180435,2602 Lillian Miller Pkwy
Old Irish Bed and Breakfast - Tesla Destination,-97.051697,33.24,3030 N Trinity Rd
Embassy Suites by Hilton Denton Convention Center - Tesla Destination,-97.170143,33.225812,3100 Town Center Trl
GLo DeSoto Dallas - Tesla Destination,-96.823569,32.611535,1215 N I-35 E
Los Madrones - Tesla Destination,-98.072052,30.290261,19300 Hamilton Pool Rd
Days Inn & Suites Dumas - Tesla Destination,-101.973875,35.847279,1610 S Dumas Ave
Hampton Inn & Suites Dumas - Tesla Destination,-101.97424,35.839891,2010 S Dumas Ave
Best Western Plus Duncanville/Dallas - Tesla Destination,-96.88899,32.641187,922 E Hwy 67
Courtyard by Marriott El Paso East/I-10 - Tesla Destination,-106.302587,31.71969,12065 Gateway Blvd W
Cutter Aviation El Paso - Tesla Destination,-106.375457,31.796804,1771 Shuttle Columbia Dr
Home2 Suites by Hilton El Paso Airport - Tesla Destination,-106.408585,31.787378,6308  Montana Ave
Best Western Plus Floresville - Tesla Destination,-98.146531,29.136118,1720 10th St
Hotel Limpia - Tesla Destination,-103.893967,30.589132,101 Memorial Sq
Hampton Inn & Suites DFW Airport South - Tesla Destination,-97.059412,32.824473,4201 Reggis Ct
Sugarberry Inn - Tesla Destination,-98.868973,30.27529,201 N Llano St
Alexander Vineyards - Tesla Destination,-98.785331,30.225301,6360 Goehmann Ln
Silver Fox Steakhouse - Tesla Destination,-96.840005,33.088439,1303 Legacy Dr
Mainstreet Motors - Tesla Destination,-96.825537,33.146253,6958 Eubanks St
Parkwood Collision - Tesla Destination,-96.825118,33.145089,8066 Parkwood Blvd
Moody Gardens - Tesla Destination,-94.85333,29.272873,1 Hope Blvd
GTP Systems Public Parking - Tesla Destination,-94.790192,29.309516,1902 Harborside
Port Parking Galveston - Tesla Destination,-94.809076,29.302838,202 37th St
Ez Cruise Parking - Tesla Destination,-94.799304,29.305201,2727 Santa Fe Pl
The San Luis Resort - Tesla Destination,-94.818348,29.272695,5222 Seawall Blvd
Hilton Galveston Island Resort - Tesla Destination,-94.820685,29.27015,5400 Seawall Blvd
Best Western Galveston West Beach Hotel - Tesla Destination,-94.851473,29.253272,8710 Seawall Blvd
Budget Inn & Suites Ganado - Tesla Destination,-96.516219,29.041794,203 W York St
Holiday Inn Express & Suites Garland - Tesla Destination,-96.540672,32.864165,4412 Bass Pro Dr
Home Made Kitchen - Tesla Destination,-98.112851,28.319325,1994 US 281
Inn on Lake Granbury - Tesla Destination,-97.789146,32.439663,205 West Doyle St
Americas Best Value Inn - Harker Heights/Killeen - Tesla Destination,-97.656303,31.077753,511 Pan American Dr
Bluebonnet Country Club - Tesla Destination,-98.018821,31.958797,27521 FM 1602
Horseshoe Bay - Tesla Destination,-98.360773,30.547148,200 Hi Cir N
Hyatt Regency Houston - Tesla Destination,-95.368858,29.757182,1200  Louisiana St
Fairfield Inn & Suites Houston Energy Corridor/Katy - Tesla Destination,-95.650169,29.784182,15111 Katy Fwy
The St. Regis Houston - Tesla Destination,-95.450496,29.747364,1919 Briar Oaks Ln
Hyatt Place Houston NW Vintage Park - Tesla Destination,-95.57116,29.988951,20330   TX-249
"Royal Sonesta Hotel - Houston, TX - Tesla Destination",-95.458813,29.744004,2222 W Loop S
Hotel Derek - Tesla Destination,-95.456745,29.741554,2525 West Loop S
Hyatt Regency Houston Galleria - Tesla Destination,-95.467337,29.73847,2626 Sage Rd
Boheme Restaurant - Tesla Destination,-95.386029,29.747997,307 Fairview St
Hotel ZAZA - Tesla Destination,-95.390109,29.724268,5701 Main St
TMC Hotel Tower - Tesla Destination,-95.403608,29.708497,6750 Main St
Holiday Inn Express & Suites Houston - Memorial Park - Tesla Destination,-95.466837,29.783491,7625 Katy Fwy
Hotel Sorella - CityCentre - Tesla Destination,-95.561368,29.780192,800 Sorella Ct
JW Marriott Houston Downtown - Tesla Destination,-95.364177,29.758414,806 Main St
Comfort Suites Northwest Houston at Beltway 8 - Tesla Destination,-95.544969,29.92875,8155 N Sam Houston Pkwy
Sorella CityCentre - Tesla Destination,-95.559639,29.781731,825  Town and Country Ln
La Quinta Inn & Suites Willowbrook Houston - Tesla Destination,-95.550675,29.956945,8383 Farm to Market 1960 Rd W
Wing Aviation Hangar - Tesla Destination,-95.263392,29.649885,8410 Larson St
Best Western Plus Downtown Inn & Suites - Tesla Destination,-95.377369,29.757371,915 W Dallas St
Holiday Inn Express & Suites Houston - Tesla Destination,-95.423407,29.684428,9300 Main St
Homewood Suites by Hilton Houston Memorial City - Tesla Destination,-95.525878,29.785175,9450 Katy Fwy
Staybridge Suites Houston Medical Center - Tesla Destination,-95.419677,29.688476,9000 S Main St
Hampton Inn Houston/Humble-Airport Area - Tesla Destination,-95.195894,29.999644,19108 Moon Trail Dr
Best Western Atascocita - Tesla Destination,-95.158275,29.99947,7730 FM 1960 Rd E
The Market @ Bridget's Basket - Tesla Destination,-99.329447,30.069727,1551 Hwy 39
The Market @ Bridgets Basket - Tesla Destination,-99.329447,30.069727,1551 Hwy 39
NYLO Irving / Las Colinas - Tesla Destination,-96.96336594,32.89665422,1001 Royal Ln
Staybridge Suites DFW Airport - Tesla Destination,-96.97531,32.922815,2220 Market Pl Blvd
FreedomPark DFW - Tesla Destination,-97.009803,32.913598,7815 Esters Blvd
La Paz Bed and Breakfast - Tesla Destination,-94.124673,31.049361,850 County Rd 051
Best Western Johnson City Inn - Tesla Destination,-98.402599,30.276283,107 U.S. 281
Best Western Premier Energy Corridor - Tesla Destination,-95.731341,29.788678,1549 Westborough Dr
La Quinta Inn & Suites Houston Katy East - Tesla Destination,-95.761621,29.784371,22455 Katy Fwy
Holiday Inn & Suites Houston West - Katy Mills - Tesla Destination,-95.815279,29.774814,25406 Katy Mills Pkwy
Courtyard by Marriott - Killeen - Tesla Destination,-97.721107,31.092701,1721 E Central Texas Expy
Hampton Inn Killeen - Tesla Destination,-97.716157,31.087385,2702 O W Curry Dr
Hilton Garden Inn Killeen - Tesla Destination,-97.714756,31.086494,2704  O W Curry Dr
La Quinta Kingwood - Tesla Destination,-95.252008,30.047281,22790 US-59
Holiday Inn Express & Suites La Porte - Tesla Destination,-95.02785,29.656454,908 W G St
Courtyard Marriott Lake Jackson - Tesla Destination,-95.420335,29.049372,159 County Rd 288
Best Western Plus Lampasas - Tesla Destination,-98.178567,31.054945,1504 S Key Ave
Burr Oak Ranch - Tesla Destination,-98.133416,31.238805,2716 FM 1690
Pier 121 Marina - Tesla Destination,-96.921999,33.074881,1481 E Hill Park Rd
Comfort Inn & Suites Longview South - I-20 - Tesla Destination,-94.71472,32.450149,707 N Access Rd
El Cosmico - Tesla Destination,-104.020604,30.302371,802 S Highland Dr
San Antonio Raceway - Tesla Destination,-98.114038,29.52676,3641 S Santa Clara Rd
"Comfort Suites - Marshall, TX - Tesla Destination",-94.357051,32.495532,5204 E End Blvd S
Rubiano Real Estate Office - Tesla Destination,-98.205776,26.247595,5119 N McColl Rd
Home2 Suites by Hilton McAllen - Tesla Destination,-98.261781,26.201548,525 S Ware Rd
Embassy Suites by Hilton McAllen Convention Center - Tesla Destination,-98.260723,26.198734,800 Convention Center Blvd
Dunkin Donuts - Tesla Destination,-98.205244,26.190502,809 S Jackson Rd
Microtel Inn and Suites Monahans - Tesla Destination,-102.894648,31.575288,813 W Service Rd
La Torretta Lake Resort & Spa - Tesla Destination,-95.637871,30.396713,600 La Torretta Blvd
Courtyard Marriott New Braunfels River Village - Tesla Destination,-98.12181,29.687713,750 S Interstate Hwy 35
The Vine - Tesla Destination,-96.464479,29.872386,25642 Bernard Rd
La Quinta Inn & Suites Palestine - Tesla Destination,-95.629399,31.733974,3000 South Loop 256
Best Western Plus Pasadena Inn & Suites - Tesla Destination,-95.220224,29.711789,122 Richey St
Holiday Inn Express & Suites Pasadena - Tesla Destination,-95.157862,29.657163,5450 Vista Rd
SpringHill Suites by Marriott Pearland - Tesla Destination,-95.383664,29.578959,1820 Country Pl Pkwy
Best Western Plus Swiss Chalet Hotel & Suites - Tesla Destination,-103.50563,31.395874,141 S Frontage Rd
Holiday Inn Express and Suites Plano - Tesla Destination,-96.830928,33.042137,3101 N Dallas Pkwy
Fairfield Inn & Suites Dallas Plano North - Tesla Destination,-96.703006,33.045052,3415 Premier Dr
La Quinta Inn & Suites Plano - Legacy - Tesla Destination,-96.83147562,33.06268332,6624 Communications Pkwy
Cambria Hotel & Suites Plano - Legacy - Tesla Destination,-96.817624,33.081111,7500 Parkwood Blvd
NYLO Plano - Tesla Destination,-96.806357,33.088829,8201 Preston Rd
Cinnamon Shore - Tesla Destination,-97.109113,27.77269,5009 TX-361
New Era Automotive - Tesla Destination,-95.401923,29.042108,1240 Brazosport Blvd
La Quinta Inn & Suites Rockport - Tesla Destination,-97.042274,28.057985,2921 Hwy 35 N
Fairfield Inn & Suites Rockport - Tesla Destination,-97.040809,28.058097,2950 Hwy 35 N
Shenaniganz - Tesla Destination,-96.445087,32.911874,1290 E Interstate 30
Hilton Dallas / Rockwall Lakefront - Tesla Destination,-96.480033,32.888756,2055 Summer Lee Dr
SpringHill Suites by Marriott Rockwall - Tesla Destination,-96.479277,32.892919,2601 Lakefront Trl
Home2 Suites by Hilton Round Rock - Tesla Destination,-97.686567,30.480039,1000 W Louis Henna Blvd
Village of Rowlett - Downtown - Tesla Destination,-96.564627,32.903708,4001 Coyle St
Yellow House Bed and Breakfast - Tesla Destination,-97.499725,30.922716,2290 Farm to Market Rd 2268
Riverwalk Plaza Hotel - Tesla Destination,-98.493044,29.422815,100 Villita St
Hotel Havana - Tesla Destination,-98.489866,29.430801,1015 Navarro St
Hyatt Regency San Antonio Riverwalk - Tesla Destination,-98.488245,29.425567,123 Losoya St
Hotel Emma - Tesla Destination,-98.480296,29.444053,136 E Grayson St
"La Cantera Resort & Spa, a Destination Hotel - Tesla Destination",-98.620445,29.604692,16641  La Cantera Pkwy
Noble Inns - Oge Inn Riverwalk - Tesla Destination,-98.492711,29.417283,209 Washington St
Comfort Suites Alamo/Riverwalk - Tesla Destination,-98.481024,29.426655,505 Live Oak St
Stewart Shopping Center - Tesla Destination,-98.462491,29.474126,5120 Broadway St
Grand Hyatt San Antonio - Tesla Destination,-98.485196,29.420243,600 E Market St
Candlewood Suites San Antonio Lackland AFB Area - Tesla Destination,-98.613219,29.405837,6439 Hwy 90 W
El Mirador Restaurant - Tesla Destination,-98.489687,29.417302,722 S St Mary's St
Hyatt Regency Hill Country Resort and Spa - Tesla Destination,-98.681357,29.463279,9800 Hyatt Resort Dr
The St Anthony Hotel - Tesla Destination,-98.489583,29.427392,300 E Travis St
Holiday Inn San Marcos Texas - Tesla Destination,-97.95153,29.860327,105 Bintu Dr
Splash Coworking - Tesla Destination,-97.940168,29.885061,326 N LBJ Dr
Holiday inn Express and Suites Seguin - Tesla Destination,-97.94967,29.602236,2801 Jay Rd
Cedar Creek Brewery - Tesla Destination,-96.207715,32.322607,336 E Cedar Creek Pkwy
Holiday Inn Shenandoah-The Woodlands - Tesla Destination,-95.447739,30.176682,19333 David Memorial Dr
La Copa Inn South Padre Island - Tesla Destination,-97.161889,26.086074,350 Padre Blvd
La Quinta Inn & Suites South Padre Island - Tesla Destination,-97.170005,26.137921,7000 Padre Blvd
Hilton Garden Inn South Padre Island - Tesla Destination,-97.170785,26.138521,7010 Padre Blvd
Paragon Design Center - Tesla Destination,-95.431804,30.04395,19103 Interstate 45
Hampton Inn & Suites- North Houston Spring - Tesla Destination,-95.428782,30.104378,23523 Northgate Crossing Blvd
Hilton Garden Inn Northgate - Tesla Destination,-95.429689,30.105053,23535 Northgate Crossing Blvd
Hampton Inn & Suites Dallas / The Colony - Tesla Destination,-96.868844,33.069641,3650 Plano Pkwy
The Colony ER Hospital - Tesla Destination,-96.885284,33.066176,4780 State Hwy 121
Holiday Inn Express - Tesla Destination,-95.634739,30.086583,14055 Park Dr
Hospitality Health ER - Tesla Destination,-95.323241,32.305346,3943 Old Jacksonville Hwy
Fresh By Brookshires - Tesla Destination,-95.340312,32.272261,6991 Old Jacksonville Hwy
The Local Fix - Tesla Destination,-99.768999,29.216463,2001 E Main St
Hampton Inn Vernon - Tesla Destination,-99.310784,34.160904,4131 Western Trail Dr
Comfort Inn & Suites Victoria - Tesla Destination,-96.988844,28.862998,6603 NE Zac Lentz Pkwy
Holiday inn Express & Suites Waco South - Tesla Destination,-97.161534,31.492786,5701  Legend Lake Pkwy
The Inn at Dos Brisas - Tesla Destination,-96.247667,30.223456,10000 Champion Dr
White Rhino Coffee - Tesla Destination,-96.850706,32.387388,414 W Main St
Holiday Inn Express Hotel & Suites Wharton - Tesla Destination,-96.119662,29.32757,10247 U.S. 59
Whisper Valley Amenity and Discovery Center - Tesla Destination,-97.554049,30.292935,9400 Petrichor Blvd
Blair House Inn - Tesla Destination,-98.090149,29.974769,100 W Spoke Hill Dr
Hotel Flora & Fauna - Tesla Destination,-98.100409,29.994853,400 River Rd
The Grand Lodge at Brian Head - Tesla Destination,-112.859124,37.699676,314 Hunter Ridge Dr
Amangiri - Tesla Destination,-111.612273,37.034252,1 Kayenta Rd
Comfort Inn & Suites - Cedar City - Tesla Destination,-113.07811,37.656271,1288 S Main St
Motel 6 Cedar City - Tesla Destination,-113.083283,37.681442,1620 W 200 N
Best Western Plus Cedar City - Tesla Destination,-113.07015,37.681051,500 W 200 N
Abbey Inn Cedar City - Tesla Destination,-113.068422,37.681323,940 W 200 N
Entrada Escalante Lodge - Tesla Destination,-111.609186,37.771301,480 W Main St
Canyon Country Lodge - Tesla Destination,-112.1543703,37.69228349,760 E Hwy 12
Hampton Inn and Suites Salt Lake City/Farmington - Tesla Destination,-111.895492,40.991983,332 W Park Ln
Kayenta Coyote Gulch Art Village - Tesla Destination,-113.706734,37.184688,875 Coyote Gulch Ct
"Days Inn & Suites - Kanab, UT - Tesla Destination",-112.53438,37.050397,296 W 100 N
La Quinta Inn & Suites La Verkin - Tesla Destination,-113.268781,37.211065,101 E 500 N
Best Western Plus Zion West Hotel - Tesla Destination,-113.271072,37.211652,44 W 500 N
Homewood Suites by Hilton Moab - Tesla Destination,-109.550033,38.575547,132 N Main St
North Ogden Branch - Weber County Library - Tesla Destination,-111.965417,41.30532,475 E 2600 N
University Mall Shopping Center/University Place - Tesla Destination,-111.67719,40.273933,575 E University Pkwy
Silver Mountain Sports Club - Kimball Jct - Tesla Destination,-111.542164,40.724657,1526 Ute Blvd
Hotel Park City - Tesla Destination,-111.512742,40.660832,2001 Park Ave
Silver Mountain Sports Club & Spa - Tesla Destination,-111.493335,40.663131,2080 Gold Dust Ln
Waldorf Astoria Park City - Tesla Destination,-111.550202,40.69064,2100 Frostwood Dr
The St. Regis Deer Valley - Tesla Destination,-111.47658,40.638251,2300 Deer Valley Dr E
Hyatt Centric Park City - Tesla Destination,-111.557033,40.682755,3551 N Escala
Stein Eriksen Lodge - Tesla Destination,-111.490065,40.621897,7700 Stein Way
Promontory Club - Tesla Destination,-111.443063,40.757064,8758 N Promontory Ranch Rd
Montage Deer Valley - Tesla Destination,-111.507381,40.618237,9100 Marsac Ave
Provo Marriott Hotel - Tesla Destination,-111.660711,40.235112,101 W 100 N
Comfort Inn - Tesla Destination,-112.103572,38.750507,1070 W 1250 S
Red lion Hotel Salt Lake - Tesla Destination,-111.895967,40.755885,161 W 600 South
Home2 Suites Salt Lake City-East - Tesla Destination,-111.811575,40.720124,2350 Foothills Dr
Atlantic Aviation - Salt Lake City - Tesla Destination,-111.9571574,40.7766713,485 N 2360 W
Hyatt Place Salt Lake City Airport - Tesla Destination,-112.00243,40.77062,52 N Tommy Thompson Rd
Grand America Hotel - Tesla Destination,-111.889663,40.75737,555 S Main St
"Snowbird Parking Structure, Level 2 - Tesla Destination",-111.651537,40.582857,1 Cliff Lodge Dr
Holiday Inn South Jordan - SLC South - Tesla Destination,-111.901757,40.561159,10499 S Jordan Gateway
Cable Mountain Lodge - Tesla Destination,-112.990049,37.199748,147 Zion Park Blvd
Cliffrose Lodge & Gardens - Tesla Destination,-112.990952,37.19696,281 Zion Park Blvd
Flanigan's Inn & Hotel Zion National Park - Tesla Destination,-112.994074,37.19458,450  Zion Park Blvd
Best Western Plus Abbey Inn & Suites - Tesla Destination,-113.584407,37.088925,1129 S Bluff St
Best Western Coral Hills - Tesla Destination,-113.579513,37.110614,125 E St George Blvd
Best Western Travel Inn - Tesla Destination,-113.576247,37.109254,316 E St George Blvd
